College Name,College Link,Stream,City,Ownership,Course,Duration,Facilities
"New Law College Pune - Bharati Vidyapeeth Deemed University, New Law College, Pune",https://www.careers360.com/colleges/bharati-vidyapeeth-deemed-university-new-law-college-pune,Law,Satara,Private,PG Diploma in Cyber Law,1 Year,"Boys Hostel, Girls Hostel"
"New Law College Pune - Bharati Vidyapeeth Deemed University, New Law College, Pune",https://www.careers360.com/colleges/bharati-vidyapeeth-deemed-university-new-law-college-pune,Law,Satara,Private,PG Diploma in Corporate Law,1 Year,"Boys Hostel, Girls Hostel"
"New Law College Pune - Bharati Vidyapeeth Deemed University, New Law College, Pune",https://www.careers360.com/colleges/bharati-vidyapeeth-deemed-university-new-law-college-pune,Law,Satara,Private,PG Diploma in Foreign Investment Laws,1 Year,"Boys Hostel, Girls Hostel"
"New Law College Pune - Bharati Vidyapeeth Deemed University, New Law College, Pune",https://www.careers360.com/colleges/bharati-vidyapeeth-deemed-university-new-law-college-pune,Law,Satara,Private,Diploma in Human Rights,1 Year,"Boys Hostel, Girls Hostel"
"New Law College Pune - Bharati Vidyapeeth Deemed University, New Law College, Pune",https://www.careers360.com/colleges/bharati-vidyapeeth-deemed-university-new-law-college-pune,Law,Satara,Private,Diploma in Taxation Law,1 Year,"Boys Hostel, Girls Hostel"
"New Law College Pune - Bharati Vidyapeeth Deemed University, New Law College, Pune",https://www.careers360.com/colleges/bharati-vidyapeeth-deemed-university-new-law-college-pune,Law,Satara,Private,Diploma in Labour Law,1 Year,"Boys Hostel, Girls Hostel"
"New Law College Kolhapur - Bharati Vidyapeeth's New Law College, Kolhapur",https://www.careers360.com/colleges/bharati-vidyapeeths-new-law-college-kolhapur,Law,Satara,Private,LLB,3 Years,"Boys Hostel, Girls Hostel"
"New Law College Kolhapur - Bharati Vidyapeeth's New Law College, Kolhapur",https://www.careers360.com/colleges/bharati-vidyapeeths-new-law-college-kolhapur,Law,Satara,Private,LLB Five Year,5 Years,"Boys Hostel, Girls Hostel"
"New Law College Kolhapur - Bharati Vidyapeeth's New Law College, Kolhapur",https://www.careers360.com/colleges/bharati-vidyapeeths-new-law-college-kolhapur,Law,Satara,Private,Diploma in Income Tax and Sales Tax,1 Year,"Boys Hostel, Girls Hostel"
"New Law College Kolhapur - Bharati Vidyapeeth's New Law College, Kolhapur",https://www.careers360.com/colleges/bharati-vidyapeeths-new-law-college-kolhapur,Law,Satara,Private,Diploma in Labour Law,1 Year,"Boys Hostel, Girls Hostel"
"Bharati Vidyapeeth's New Law College, Sangli",https://www.careers360.com/colleges/bharati-vidyapeeths-new-law-college-sangli,Law,Satara,Private,PG Diploma in Cyber Law,1 Year,"Boys Hostel, Girls Hostel"
"Bharati Vidyapeeth's New Law College, Sangli",https://www.careers360.com/colleges/bharati-vidyapeeths-new-law-college-sangli,Law,Satara,Private,LLB,3 Years,"Boys Hostel, Girls Hostel"
"Bharati Vidyapeeth's New Law College, Sangli",https://www.careers360.com/colleges/bharati-vidyapeeths-new-law-college-sangli,Law,Satara,Private,BA LLB,5 Years,"Boys Hostel, Girls Hostel"
"Bharati Vidyapeeth's New Law College, Sangli",https://www.careers360.com/colleges/bharati-vidyapeeths-new-law-college-sangli,Law,Satara,Private,PG Diploma in Taxation Law,1 Year,"Boys Hostel, Girls Hostel"
"YC College Karad - Bharati Vidyapeeth's Yashwantrao Chavan Law College, Karad",https://www.careers360.com/colleges/bharati-vidyapeeths-yashwantrao-chavan-law-college-karad,Law,Satara,Private,LLM,2 Years,N/A
"YC College Karad - Bharati Vidyapeeth's Yashwantrao Chavan Law College, Karad",https://www.careers360.com/colleges/bharati-vidyapeeths-yashwantrao-chavan-law-college-karad,Law,Satara,Private,LLB,3 Years,N/A
"YC College Karad - Bharati Vidyapeeth's Yashwantrao Chavan Law College, Karad",https://www.careers360.com/colleges/bharati-vidyapeeths-yashwantrao-chavan-law-college-karad,Law,Satara,Private,BA LLB,5 Years,N/A
"YC College Karad - Bharati Vidyapeeth's Yashwantrao Chavan Law College, Karad",https://www.careers360.com/colleges/bharati-vidyapeeths-yashwantrao-chavan-law-college-karad,Law,Satara,Private,BSL LLB,5 Years,N/A
