College Name,College Link,Stream,City,Ownership,Course,Duration,Facilities
"Bharati Vidyapeeth Deemed University Amplify Department of Information Technology and Management, Pune",https://www.careers360.com/colleges/bharati-vidyapeeth-deemed-university-amplify-department-of-information-technology-and-management-pune,Engineering,Pune,Private,B.Sc Information Technology,3 Years,"Boys Hostel, Girls Hostel"
"BVUCOE Pune - Bharati Vidyapeeth Deemed University College of Engineering, Pune",https://www.careers360.com/colleges/bharati-vidyapeeth-deemed-university-college-of-engineering-pune,Engineering,Pune,Private,B.Tech Computer Engineering,4 Years,"Boys Hostel, Girls Hostel"
"BVUCOE Pune - Bharati Vidyapeeth Deemed University College of Engineering, Pune",https://www.careers360.com/colleges/bharati-vidyapeeth-deemed-university-college-of-engineering-pune,Engineering,Pune,Private,B.Tech Computer Science Engineering,4 Years,"Boys Hostel, Girls Hostel"
"BVUCOE Pune - Bharati Vidyapeeth Deemed University College of Engineering, Pune",https://www.careers360.com/colleges/bharati-vidyapeeth-deemed-university-college-of-engineering-pune,Engineering,Pune,Private,B.Tech Information Technology,4 Years,"Boys Hostel, Girls Hostel"
"BVUCOE Pune - Bharati Vidyapeeth Deemed University College of Engineering, Pune",https://www.careers360.com/colleges/bharati-vidyapeeth-deemed-university-college-of-engineering-pune,Engineering,Pune,Private,B.Tech Electronics and Telecommunication Engineering,4 Years,"Boys Hostel, Girls Hostel"
"BVUCOE Pune - Bharati Vidyapeeth Deemed University College of Engineering, Pune",https://www.careers360.com/colleges/bharati-vidyapeeth-deemed-university-college-of-engineering-pune,Engineering,Pune,Private,B.Tech Electronics and Communication Engineering,4 Years,"Boys Hostel, Girls Hostel"
"BVUCOE Pune - Bharati Vidyapeeth Deemed University College of Engineering, Pune",https://www.careers360.com/colleges/bharati-vidyapeeth-deemed-university-college-of-engineering-pune,Engineering,Pune,Private,B.Tech Computer Science and Business Systems,4 Years,"Boys Hostel, Girls Hostel"
"BVUCOE Pune - Bharati Vidyapeeth Deemed University College of Engineering, Pune",https://www.careers360.com/colleges/bharati-vidyapeeth-deemed-university-college-of-engineering-pune,Engineering,Pune,Private,B.Tech Robotics and Automation,4 Years,"Boys Hostel, Girls Hostel"
"BVUCOE Pune - Bharati Vidyapeeth Deemed University College of Engineering, Pune",https://www.careers360.com/colleges/bharati-vidyapeeth-deemed-university-college-of-engineering-pune,Engineering,Pune,Private,B.Tech Mechanical Engineering,4 Years,"Boys Hostel, Girls Hostel"
"BVUCOE Pune - Bharati Vidyapeeth Deemed University College of Engineering, Pune",https://www.careers360.com/colleges/bharati-vidyapeeth-deemed-university-college-of-engineering-pune,Engineering,Pune,Private,B.Tech Civil Engineering,4 Years,"Boys Hostel, Girls Hostel"
"BVUCOE Pune - Bharati Vidyapeeth Deemed University College of Engineering, Pune",https://www.careers360.com/colleges/bharati-vidyapeeth-deemed-university-college-of-engineering-pune,Engineering,Pune,Private,B.Tech Electrical Computer Engineering,4 Years,"Boys Hostel, Girls Hostel"
"BVUCOE Pune - Bharati Vidyapeeth Deemed University College of Engineering, Pune",https://www.careers360.com/colleges/bharati-vidyapeeth-deemed-university-college-of-engineering-pune,Engineering,Pune,Private,B.Tech Chemical Engineering,4 Years,"Boys Hostel, Girls Hostel"
"BVUCOE Pune - Bharati Vidyapeeth Deemed University College of Engineering, Pune",https://www.careers360.com/colleges/bharati-vidyapeeth-deemed-university-college-of-engineering-pune,Engineering,Pune,Private,B.Tech Electronics Engineering Lateral Entry,3 Years,"Boys Hostel, Girls Hostel"
